ñÑÇﬂçûÇ›îÕàÕ, ñÑÇﬂçûÇ›ó¶,PSNR,SSIM,åÎÇËó¶
1,100.0,51.13157143044206,0.9964893445462998,50.10986328125
2,100.0,44.125714618971884,0.9829919351138363,50.146484375
3,100.0,37.97171465037175,0.9379903694085624,50.093587239583336
4,100.0,31.828709305618744,0.8201803280236525,50.11405944824219
5,100.0,26.05058040463437,0.6236716188103533,50.0830078125
6,100.0,19.820046942894038,0.40209224531235027,50.0274658203125
7,100.0,15.036914632611062,0.18896035549754278,50.020926339285715
8,100.0,8.068099233536405,0.00923265026819916,50.00457763671875
1,88.88888888888889,52.514895974851676,0.9974458047151983,36.4410400390625
2,88.88888888888889,45.48566036433372,0.9873599138410131,36.47918701171875
3,88.88888888888889,39.335553253482004,0.9526470023106474,36.43646240234375
4,88.88888888888889,33.20556044107494,0.8521817626428265,36.43035888671875
5,88.88888888888889,27.358026338964407,0.6637725724209671,36.416015625
6,88.88888888888889,21.199534316287153,0.4392231614762559,36.383056640625
7,88.88888888888889,16.021039297199902,0.22343292198055095,36.368015834263396
8,88.88888888888889,9.299170846887408,0.047526896049988665,36.362457275390625
1,80.0,53.277709447228915,0.9978374367292262,30.57098388671875
2,80.0,46.25811187316687,0.9893600039100131,30.5755615234375
3,80.0,40.10313523336392,0.9597582369355733,30.527750651041668
4,80.0,33.99822406536927,0.8703397321773432,30.5419921875
5,80.0,28.12148108810368,0.6893697036694627,30.537109375
6,80.0,21.96843846415172,0.4640988428975038,30.527242024739582
7,80.0,16.646653916423595,0.24820732038064397,30.498613630022323
8,80.0,10.070824603513309,0.06914179325351943,30.487442016601562
1,72.72727272727273,54.095568653346746,0.9982121823693403,25.323486328125
2,72.72727272727273,47.09436965200886,0.9911517771226449,25.35247802734375
3,72.72727272727273,40.87063509603613,0.9656931612275889,25.34332275390625
4,72.72727272727273,34.791305393686926,0.8861212635803152,25.334548950195312
5,72.72727272727273,28.922009626040655,0.7161821313149274,25.33538818359375
6,72.72727272727273,22.77879914963714,0.48926187678981115,25.3326416015625
7,72.72727272727273,17.36958461907008,0.2712446734950904,25.3173828125
8,72.72727272727273,10.851531037827979,0.08889237141306502,25.302696228027344
1,66.66666666666666,54.69452071080659,0.9984496022750055,22.0611572265625
2,66.66666666666666,47.69545879957495,0.9923061247538327,22.04132080078125
3,66.66666666666666,41.50051202958331,0.9700018732580953,22.039794921875
4,66.66666666666666,35.39658710916011,0.8973376289390004,22.031021118164062
5,66.66666666666666,29.464723486034707,0.7340441311972498,22.027587890625
